open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1669334400000,0.1624000,0.1625000,0.1622000,0.1622000,97785,1669334459999,15877.9608000,91,25271,4104.9800000,0
1669334460000,0.1622000,0.1624000,0.1619000,0.1620000,205918,1669334519999,33396.0278000,150,84405,13693.9496000,0
1669334520000,0.1619000,0.1620000,0.1618000,0.1618000,152118,1669334579999,24627.8827000,114,25603,4147.5867000,0
1669334580000,0.1619000,0.1619000,0.1615000,0.1616000,204087,1669334639999,32994.3792000,156,27768,4491.2588000,0
1669334640000,0.1616000,0.1620000,0.1616000,0.1620000,119499,1669334699999,19330.6055000,82,107410,17373.6621000,0
1669334700000,0.1621000,0.1623000,0.1621000,0.1623000,48864,1669334759999,7925.7188000,61,26872,4359.0364000,0
1669334760000,0.1623000,0.1623000,0.1621000,0.1622000,101534,1669334819999,16472.9684000,65,9787,1587.6254000,0
1669334820000,0.1621000,0.1621000,0.1619000,0.1619000,103739,1669334879999,16807.8647000,97,26091,4227.2733000,0
1669334880000,0.1619000,0.1620000,0.1617000,0.1617000,90086,1669334939999,14584.2472000,78,15814,2561.5896000,0
1669334940000,0.1617000,0.1617000,0.1613000,0.1613000,231480,1669334999999,37367.0006000,173,123581,19951.6735000,0
1669335000000,0.1613000,0.1614000,0.1610000,0.1613000,223524,1669335059999,36031.9649000,185,138884,22390.2120000,0
1669335060000,0.1612000,0.1614000,0.1611000,0.1612000,301094,1669335119999,48544.3658000,198,153254,24712.7144000,0
1669335120000,0.1612000,0.1613000,0.1607000,0.1608000,439681,1669335179999,70775.7143000,209,210278,33852.6453000,0
1669335180000,0.1607000,0.1611000,0.1606000,0.1611000,431872,1669335239999,69432.9290000,245,226708,36463.7217000,0
1669335240000,0.1611000,0.1612000,0.1609000,0.1611000,149330,1669335299999,24051.8470000,125,81596,13143.2791000,0
1669335300000,0.1610000,0.1611000,0.1608000,0.1610000,320702,1669335359999,51616.2589000,190,93572,15062.7539000,0
1669335360000,0.1611000,0.1614000,0.1611000,0.1612000,237588,1669335419999,38317.6893000,152,139144,22443.1720000,0
1669335420000,0.1613000,0.1613000,0.1609000,0.1609000,153421,1669335479999,24715.8733000,107,37774,6092.2160000,0
1669335480000,0.1610000,0.1612000,0.1610000,0.1611000,126113,1669335539999,20310.3739000,91,71565,11523.9866000,0
1669335540000,0.1611000,0.1611000,0.1610000,0.1611000,112584,1669335599999,18137.1906000,69,54563,8790.0993000,0
1669335600000,0.1610000,0.1611000,0.1610000,0.1610000,35633,1669335659999,5738.0668000,41,16243,2616.2768000,0
1669335660000,0.1609000,0.1611000,0.1608000,0.1609000,170455,1669335719999,27432.1627000,135,75125,12091.3865000,0
1669335720000,0.1609000,0.1610000,0.1601000,0.1603000,1073344,1669335779999,172179.0017000,529,236076,37878.3307000,0
1669335780000,0.1604000,0.1605000,0.1603000,0.1603000,234203,1669335839999,37564.3287000,176,107878,17303.1526000,0
1669335840000,0.1604000,0.1605000,0.1599000,0.1602000,729403,1669335899999,116810.1556000,412,297089,47578.9618000,0
1669335900000,0.1603000,0.1603000,0.1595000,0.1600000,1129297,1669335959999,180423.3221000,449,238801,38192.5137000,0
1669335960000,0.1600000,0.1606000,0.1600000,0.1601000,524205,1669336019999,84013.8172000,270,343780,55103.4131000,0
1669336020000,0.1601000,0.1602000,0.1599000,0.1599000,214704,1669336079999,34362.4553000,117,102583,16420.9563000,0
1669336080000,0.1600000,0.1603000,0.1600000,0.1602000,124281,1669336139999,19898.8233000,124,80389,12871.1588000,0
1669336140000,0.1602000,0.1605000,0.1602000,0.1603000,142757,1669336199999,22890.1138000,99,69492,11140.8683000,0
1669336200000,0.1603000,0.1605000,0.1601000,0.1603000,165698,1669336259999,26556.6660000,140,122706,19666.2504000,0
1669336260000,0.1604000,0.1604000,0.1603000,0.1603000,67010,1669336319999,10743.1114000,54,40718,6528.5038000,0
1669336320000,0.1603000,0.1603000,0.1602000,0.1602000,84126,1669336379999,13484.8478000,89,44801,7181.6003000,0
1669336380000,0.1603000,0.1606000,0.1603000,0.1606000,167905,1669336439999,26945.1796000,141,116821,18748.3704000,0
1669336440000,0.1607000,0.1608000,0.1606000,0.1606000,44077,1669336499999,7084.9059000,35,36225,5823.4454000,0
1669336500000,0.1606000,0.1608000,0.1605000,0.1608000,107653,1669336559999,17294.6373000,97,74535,11976.2120000,0
1669336560000,0.1608000,0.1610000,0.1607000,0.1607000,156249,1669336619999,25141.8970000,113,45624,7341.5817000,0
1669336620000,0.1608000,0.1611000,0.1607000,0.1610000,229782,1669336679999,36983.0966000,153,164042,26403.6299000,0
1669336680000,0.1610000,0.1613000,0.1609000,0.1612000,122445,1669336739999,19724.7232000,122,59272,9549.4349000,0
1669336740000,0.1612000,0.1614000,0.1610000,0.1612000,206424,1669336799999,33277.9040000,140,62518,10078.6398000,0
1669336800000,0.1613000,0.1613000,0.1611000,0.1613000,96154,1669336859999,15501.3886000,85,37104,5981.5649000,0
1669336860000,0.1613000,0.1615000,0.1612000,0.1613000,255994,1669336919999,41295.0820000,173,146869,23693.8237000,0
1669336920000,0.1613000,0.1614000,0.1612000,0.1613000,23485,1669336979999,3788.1836000,25,13672,2205.4055000,0
1669336980000,0.1613000,0.1616000,0.1613000,0.1614000,217279,1669337039999,35076.7099000,154,100062,16153.7873000,0
1669337040000,0.1613000,0.1613000,0.1613000,0.1613000,53451,1669337099999,8621.6463000,51,18097,2919.0461000,0
1669337100000,0.1613000,0.1613000,0.1610000,0.1611000,98136,1669337159999,15810.2461000,83,36655,5905.1377000,0
1669337160000,0.1611000,0.1612000,0.1610000,0.1612000,148811,1669337219999,23973.6912000,123,74227,11958.8024000,0
1669337220000,0.1612000,0.1614000,0.1612000,0.1614000,103083,1669337279999,16627.4180000,93,61686,9952.2625000,0
1669337280000,0.1614000,0.1615000,0.1613000,0.1614000,198368,1669337339999,32015.5560000,182,84789,13685.1774000,0
1669337340000,0.1613000,0.1615000,0.1610000,0.1610000,315074,1669337399999,50815.3598000,310,142996,23058.1435000,0
1669337400000,0.1611000,0.1611000,0.1610000,0.1611000,41538,1669337459999,6691.3408000,43,14157,2280.6927000,0
1669337460000,0.1610000,0.1610000,0.1608000,0.1608000,136306,1669337519999,21924.0460000,126,64981,10452.0472000,0
1669337520000,0.1609000,0.1610000,0.1609000,0.1610000,22392,1669337579999,3603.5839000,21,22283,3586.0458000,0
1669337580000,0.1610000,0.1611000,0.1608000,0.1608000,190092,1669337639999,30589.9991000,143,64126,10321.3027000,0
1669337640000,0.1609000,0.1609000,0.1608000,0.1609000,68848,1669337699999,11073.9107000,57,36412,5857.2959000,0
1669337700000,0.1608000,0.1608000,0.1606000,0.1607000,108747,1669337759999,17477.3503000,114,36701,5898.5119000,0
1669337760000,0.1607000,0.1607000,0.1606000,0.1606000,10868,1669337819999,1746.4254000,24,0,0.0000000,0
